id_mpio,entidad,mpio,clasificacion_2000,grado_idh_2005,idh_2000,clasificacion_2005,idh_2005,tasa_moralidad_infantil_2000,tasa_mortalidad_infantil_2005,tasa_alfabetizacion_2000,tasa_alfabetizacion_2005,tasa_asistencia_escolar_2000,tasa_asistencia_escolar_2005,usd_ppc_2000,usd_ppc_2005,indice_salud_2000,indice_salud_2005,indice_educacion_2000,indice_educacion_2005,indice_ingreso_2000,indice_ingreso_2005
16034,Michoacán,Hidalgo,932,medio,0.7377,1191,0.7596,26.31812,22.8452,84.86148,86.62077,56.34053,59.3771,5217.476519,5673.258288,0.7995669,0.8294187,0.7535449,0.7753955,0.6600388,0.674017
20370,Oaxaca,Santa Catarina Tayata,1010,medio,0.7313,1192,0.7594,26.39978,20.99798,89.56159,89.43489,72.75985,71.42857,2791.966397,3613.303416,0.798865,0.8452966,0.8396101,0.8343279,0.555679,0.5987197
20237,Oaxaca,San Marcos Arteaga,1309,medio,0.7071,1193,0.7593,27.11748,17.19323,82.30337,84.0746,56.2753,62.76463,3479.037642,4369.259141,0.7926959,0.8780006,0.7362735,0.7697128,0.5923995,0.6304266
21163,Puebla,Tepatlaxco de Hidalgo,1214,medio,0.7149,1194,0.7593,24.29538,18.31291,82.62562,84.80118,52.16492,53.08998,3712.55476,5448.459786,0.8169535,0.8683764,0.7247205,0.7423078,0.6032424,0.6672689
11016,Guanajuato,Huanímaro,1141,medio,0.7207,1195,0.7590,27.92278,22.59181,87.91946,89.04459,53.2683,59.26644,3928.36909,5044.879467,0.7857742,0.8315967,0.7636907,0.7911854,0.6126732,0.6544241
20530,Oaxaca,Santo Tomás Jalieza,1816,medio,0.6609,1196,0.7590,35.6765,22.62884,84.3819,86.83473,57.48683,64.46618,2118.626919,4973.386636,0.7191263,0.8312785,0.7541687,0.7937855,0.5096172,0.6520419
16074,Michoacán,Cojumatlán de Régules,1026,medio,0.7306,1197,0.7589,24.96769,16.64862,79.79528,80.60766,48.75973,55.65883,6102.437914,5582.149893,0.8111749,0.8826818,0.6945009,0.7229138,0.6861884,0.6713148
13057,Hidalgo,Singuilucan,1283,medio,0.7100,1198,0.7588,30.13553,22.59312,81.18916,83.99547,57.75908,62.29408,4349.822323,5789.459986,0.7667542,0.8315854,0.7337914,0.7676167,0.6296825,0.677401
08056,Chihuahua,Rosario,1033,medio,0.7300,1199,0.7588,27.9208,21.52233,89.20135,87.31391,55.94329,56.9044,4180.812151,5342.284678,0.7857912,0.8407896,0.7811533,0.7717741,0.6230682,0.6639843
11004,Guanajuato,Apaseo el Alto,786,medio,0.7500,1200,0.7587,27.08379,24.37511,83.26744,85.35424,54.6618,57.61175,7462.962126,6590.907593,0.7929854,0.8162686,0.7373223,0.7610675,0.7197802,0.6990405
30182,Veracruz,Tlalnelhuayocan,1421,medio,0.6992,1201,0.7587,29.87657,24.19876,82.71083,85.53387,57.60805,64.54237,3337.817056,5644.319782,0.7689798,0.8177841,0.7434323,0.785367,0.5854833,0.6731634
32045,Zacatecas,Tepechitlán,566,medio,0.7664,1202,0.7587,29.76937,22.44318,91.08446,91.95836,62.59789,66.07553,7191.206901,3866.975032,0.7699015,0.8328745,0.8158894,0.8333075,0.7135891,0.6100441
07050,Chiapas,La Libertad,1398,medio,0.7008,1203,0.7587,31.35831,19.99588,83.44314,82.16274,57.46628,67.57607,3609.410875,4891.208277,0.7562436,0.8539105,0.7478419,0.7730052,0.5985398,0.6492611
20387,Oaxaca,Santa Gertrudis,1661,medio,0.6761,1204,0.7586,30.11875,18.28392,77.23646,78.66948,63.53945,63.76051,2463.90243,5549.843481,0.7668982,0.8686259,0.7267079,0.7369983,0.5348161,0.6703461
21033,Puebla,Cohuecan,1480,medio,0.6937,1205,0.7586,33.31882,20.38984,88.81604,90.06577,64.7489,63.96578,2449.033796,3905.247936,0.7393918,0.8505239,0.8079366,0.8136577,0.5338058,0.6116879
28012,Tamaulipas,González,933,medio,0.7376,1206,0.7586,28.55464,21.54773,87.02464,87.76869,56.09683,58.39454,5387.878459,5077.621258,0.7803429,0.8405713,0.7671537,0.7797731,0.6654027,0.6555038
21097,Puebla,Mixtla,552,medio,0.7674,1207,0.7586,25.58911,21.55109,92.63502,93.05556,74.70167,72.51995,4360.022611,3100.715225,0.8058333,0.8405426,0.8665724,0.8621036,0.6300734,0.573185
07001,Chiapas,Acacoyagua,1455,medio,0.6959,1208,0.7585,30.82364,21.6328,81.65944,82.24899,58.20429,64.23861,3398.179685,5653.932231,0.7608393,0.8398402,0.7384106,0.7624553,0.5884746,0.6734474
16110,Michoacán,Zinapécuaro,942,medio,0.7366,1209,0.7585,28.13367,22.31962,84.67488,85.53472,56.2506,60.19641,5676.31003,5568.385966,0.7839611,0.8339365,0.7520012,0.7708862,0.6741067,0.6709028
26056,Sonora,San Miguel de Horcasitas,1475,medio,0.6940,1210,0.7584,34.93207,29.12551,85.54182,84.55598,39.50667,55.90743,5049.716524,8943.776111,0.7255248,0.7754357,0.7019677,0.7500647,0.6545841,0.7499908
20341,Oaxaca,San Pedro Yucunama,1299,medio,0.7080,1211,0.7584,27.00771,23.43051,85.16129,86.06061,57.14286,64.19753,3082.992895,5319.686845,0.7936397,0.8243876,0.7582182,0.7877291,0.5722284,0.6632768
